university,short_name,domain,state,has_program,program_name,program_url,portfolio_url,discovery_method,confidence,notes,checked_date
Emory University,emory,emory.edu,GA,YES,Emory University Entrepreneurship,https://entrepreneurship.emory.edu,https://entrepreneurship.emory.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Georgetown University,georgetown,georgetown.edu,DC,YES,Georgetown University Entrepreneurship,https://entrepreneurship.georgetown.edu,https://entrepreneurship.georgetown.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Illinois Institute of Technology,iit,iit.edu,IL,YES,Illinois Institute of Technology Innovation,https://innovation.iit.edu,https://innovation.iit.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Indiana University,indiana,indiana.edu,IN,YES,Indiana University Innovation,https://www.indiana.edu/innovation,https://www.indiana.edu/innovation/portfolio,url_pattern,HIGH,"Found 3 innovation URLs, has portfolio",2026-02-24
New York University,nyu,nyu.edu,NY,YES,New York University Entrepreneurship,https://www.nyu.edu/entrepreneurship,https://www.nyu.edu/entrepreneurship/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Northeastern University,northeastern,northeastern.edu,MA,YES,Northeastern University Entrepreneurship,https://entrepreneurship.northeastern.edu,https://entrepreneurship.northeastern.edu/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
Ohio State University,osu,osu.edu,OH,YES,Ohio State University Entrepreneurship,https://entrepreneurship.osu.edu,https://entrepreneurship.osu.edu/companies,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Purdue University,purdue,purdue.edu,IN,YES,Purdue University Entrepreneurship,https://www.purdue.edu/entrepreneurship,https://www.purdue.edu/entrepreneurship/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Rutgers University,rutgers,rutgers.edu,NJ,YES,Rutgers University Entrepreneurship,https://entrepreneurship.rutgers.edu,https://entrepreneurship.rutgers.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
Stanford University,stanford,stanford.edu,CA,YES,StartX,https://startx.com,https://startx.com/companies,known_database,HIGH,Known program without API,2026-02-24
University of Arizona,arizona,arizona.edu,AZ,YES,University of Arizona Entrepreneurship,https://entrepreneurship.arizona.edu,https://entrepreneurship.arizona.edu/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Arkansas,uark,uark.edu,AR,YES,University of Arkansas Innovation,https://innovation.uark.edu,https://innovation.uark.edu/portfolio,url_pattern,HIGH,"Found 5 innovation URLs, has portfolio",2026-02-24
University of California Berkeley,berkeley,berkeley.edu,CA,YES,Berkeley SkyDeck,https://skydeck.berkeley.edu,https://skydeck.berkeley.edu/portfolio,known_database,HIGH,Known program with API,2026-02-24
University of California Irvine,uci,uci.edu,CA,YES,University of California Irvine Innovation,https://innovation.uci.edu,https://innovation.uci.edu/startups,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
University of California Los Angeles,ucla,ucla.edu,CA,YES,University of California Los Angeles Ventures,https://ventures.ucla.edu,https://ventures.ucla.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
University of Chicago,uchicago,uchicago.edu,IL,YES,University of Chicago Innovation,https://innovation.uchicago.edu,https://innovation.uchicago.edu/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Connecticut,uconn,uconn.edu,CT,YES,University of Connecticut Innovation,https://innovation.uconn.edu,https://innovation.uconn.edu/companies,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Illinois Urbana-Champaign,illinois,illinois.edu,IL,YES,University of Illinois Urbana-Champaign Entrepreneurship,https://entrepreneurship.illinois.edu,https://entrepreneurship.illinois.edu/startups,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
University of Kansas,ku,ku.edu,KS,YES,University of Kansas Innovation,https://innovation.ku.edu,https://innovation.ku.edu/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Nebraska,unl,unl.edu,NE,YES,University of Nebraska Entrepreneurship,https://entrepreneurship.unl.edu,https://entrepreneurship.unl.edu/portfolio,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
University of Oklahoma,ou,ou.edu,OK,YES,University of Oklahoma Innovation,https://innovation.ou.edu,https://innovation.ou.edu/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Vermont,uvm,uvm.edu,VT,YES,University of Vermont Innovation,https://www.uvm.edu/innovation,https://www.uvm.edu/innovation/portfolio,url_pattern,HIGH,"Found 2 innovation URLs, has portfolio",2026-02-24
University of Washington,uw,washington.edu,WA,YES,University of Washington Innovation,https://www.washington.edu/innovation,https://www.washington.edu/innovation/startups,url_pattern,HIGH,"Found 1 innovation URLs, has portfolio",2026-02-24
University of Wyoming,uwyo,uwyo.edu,WY,YES,University of Wyoming Innovation,https://www.uwyo.edu/innovation,https://www.uwyo.edu/innovation/portfolio,url_pattern,HIGH,"Found 3 innovation URLs, has portfolio",2026-02-24
